"seqnames","start","end","min_smoothed_fdr","meandiff","overlapping.genes","probes","Source"
"chr22",47135171,47135258,0.999910303772056,-0.016818715882353,"TBC1D22A","cg17099656;cg16154810","CoRSIV"
"chr3",73045556,73045686,0.999910303772056,0.000577006661551601,"PPP4R2","cg03847932;cg20540428","CoRSIV"
"chr4",122721721,122721982,0.999910303772056,0.0027123163256606,NA,"cg11979875;cg06713675","CoRSIV"
"chr4",183935060,183935233,0.999910303772056,-8.997203751069e-05,"STOX2","cg09768983;cg21391046","CoRSIV"
"chr10",829420,829463,0.999910303772056,0.00151991793350382,"LARP4B","cg12876012;cg15764593","CoRSIV"
"chr12",297831,298151,0.999910303772056,-0.0169463944394714,"KDM5A","cg19778375;cg23063825","CoRSIV"
"chr14",21191754,21191859,0.999910303772056,0.000558005234015376,NA,"cg20581874;cg26393629","CoRSIV"
"chr19",16045054,16045708,0.999910303772056,0.0139313680306906,NA,"cg18449879;cg26851661","CoRSIV"
"chr19",51330265,51330299,0.999910303772056,0.00594373501236142,"IGLON5","cg15116481;cg18254983","CoRSIV"
"chr6",26305371,26305472,0.999910303772056,-0.00334228192668372,NA,"cg00631329;cg13736514","CoRSIV"
"chr7",100343083,100343110,0.999910303772056,0.000672769012787734,"STAG3L5P, STAG3L5P-PVRIG2P-PILRB","cg20848291;cg16850897","CoRSIV"
"chr3",194705841,194706168,0.140821539973173,0.0308069115699062,"AC106706.1","cg01152897;cg22613854;cg01115389;cg22831526","CoRSIV"
"chr6",28664155,28664226,0.999910303772056,0.00530277321525997,NA,"cg22452837;cg10960055","CoRSIV"
"chr12",130822603,130822674,0.142611084895931,0.0431396613523729,"STX2","cg24838063;cg26677194;cg23887609","CoRSIV"
"chr1",11561497,11561711,0.999910303772056,0.00937695906251776,NA,"cg24371425;cg08243619;cg10116490","CoRSIV"
"chr1",19110734,19110978,0.999910303772056,0.020129619115942,"UBR4","cg13786083;cg19637330;cg26220594","CoRSIV"
"chr1",89459504,89459658,0.999910303772056,0.00586559747087247,"AL596214.1","cg14669130;cg11309454;cg23627354","CoRSIV"
"chr1",149169973,149170214,0.999910303772056,0.00591201367689684,NA,"cg01062913;cg13787167;cg19775250","CoRSIV"
"chr1",156163844,156163899,0.999910303772056,0.00816228139300938,"SEMA4A","cg25208724;cg06970220;cg24450063","CoRSIV"
"chr1",162467180,162467363,0.999910303772056,0.000424154507246364,NA,"cg10967587;cg00859178;cg10796931","CoRSIV"
"chr1",228362309,228362509,0.999910303772056,0.00667393934811027,"OBSCN, AL670729.3","cg24846680;cg01200585;cg18277682","CoRSIV"
"chr2",3642629,3642732,0.999910303772056,-0.0134320190642228,"COLEC11","cg19867917;cg00835279;cg17872886","CoRSIV"
"chr2",8785262,8785728,0.999910303772056,0.00609887857686836,"KIDINS220","cg03538480;cg08694618;cg06039387","CoRSIV"
"chr2",18765848,18766022,0.999910303772056,0.0192853774049446,NA,"cg15750303;cg20702390;cg04391048","CoRSIV"
"chr2",114033490,114033830,0.999910303772056,0.00155382575248649,NA,"cg06675538;cg01577475;cg23156509","CoRSIV"
"chr2",114256406,114256454,0.999910303772056,0.00904883636317132,NA,"cg08451957;cg16839353;cg05613063","CoRSIV"
"chr2",210074020,210074359,0.999910303772056,0.0186526474566638,"KANSL1L","cg20296298;cg09336323;cg26685596","CoRSIV"
"chr2",231855218,231856059,0.818718845363003,0.0119183591133845,NA,"cg00281837;cg02577387;cg12042332","CoRSIV"
"chr3",183209713,183209927,0.999910303772056,0.00278734826484792,"MCF2L2","cg14023239;cg24707617;cg12326526","CoRSIV"
"chr3",192289245,192289293,0.969749802012569,0.0341109981895425,"FGF12","cg17611045;cg14463292;cg07620573","CoRSIV"
"chr4",7719899,7720084,0.999910303772056,0.00950726385848258,"SORCS2","cg15838301;cg27175016;cg02239163","CoRSIV"
"chr4",184642625,184642917,0.999910303772056,0.0233386251463484,"CASP3","cg26678138;cg22078781;cg08721802","CoRSIV"
"chr5",3787906,3787948,0.698907561830581,0.0269309585961921,NA,"cg01927921;cg09491536;cg23998650","CoRSIV"
"chr5",13810143,13810279,0.999910303772056,0.019153777620915,"DNAH5","cg04734587;cg20738735;cg08818829","CoRSIV"
"chr5",32584912,32585396,0.999910303772056,0.0115136649048025,"SUB1","cg18721397;cg12600337;cg04225902","CoRSIV"
"chr5",74908125,74908170,0.999910303772056,0.0283980696925263,NA,"cg02573091;cg19683494;cg00601450","CoRSIV"
"chr5",125929611,125930496,0.810929893494595,0.0102803218556408,"AC116362.1","cg22547559;cg25476565;cg05689600","CoRSIV"
"chr5",131281008,131281290,0.999910303772056,0.00241689936373978,"CDC42SE2","cg06647332;cg19734801;cg06307176","CoRSIV"
"chr5",169659845,169659863,0.999910303772056,0.0011909369758454,"DOCK2","cg00982641;cg06417125;cg20758593","CoRSIV"
"chr5",177811198,177811648,0.999910303772056,-0.0149473683165673,"AC106795.1","cg08930131;cg02087079;cg00234625","CoRSIV"
"chr6",25882328,25882590,0.999910303772056,-0.0116271360855357,"H2AC3P","cg15691649;cg03264133;cg03517284","CoRSIV"
"chr6",28447087,28447115,0.999910303772056,-0.00878570965103727,"COX11P1","cg26968378;cg12584458;cg21903646","CoRSIV"
"chr6",29795501,29795595,0.999910303772056,-0.00869614189855074,"HLA-V","cg03432955;cg00126638;cg03521696","CoRSIV"
"chr6",31010597,31010742,0.777808949421891,-0.0211292213981245,"MUC22","cg06855286;cg16398511;cg18595780","CoRSIV"
"chr6",31650735,31650786,0.999910303772056,0.0172576388684286,"BAG6","cg07455790;cg05857999;cg02389040","CoRSIV"
"chr6",111302729,111303062,0.999910303772056,-0.00951967632225064,"MFSD4B, REV3L","cg05213296;cg14002274;cg16061928","CoRSIV"
"chr6",127796683,127797022,0.969749802012569,0.0289960736788861,"THEMIS","cg20390711;cg14079463;cg04580344","CoRSIV"
"chr6",169977394,169977833,0.999910303772056,-0.00279691125319695,NA,"cg09894276;cg24389034;cg02841571","CoRSIV"
"chr6",170557102,170557757,0.999910303772056,0.0510474943961353,"TBP","cg26180843;cg12709009;cg15637912","CoRSIV"
"chr6",170730413,170730693,0.780834068455451,-0.0106326794353509,"AL672310.1","cg01757548;cg08386137;cg16453901","CoRSIV"
"chr7",766100,766119,0.999910303772056,0.0181129054035237,"DNAAF5","cg11064039;cg06242242;cg05729249","CoRSIV"
"chr7",948567,949758,0.449770952148931,0.0518302022966752,"ADAP1, COX19","cg25612754;cg19665696;cg08512365","CoRSIV"
"chr7",4244250,4244643,0.999910303772056,0.0286765905120773,"SDK1","cg02004499;cg24441899;cg07249765","CoRSIV"
"chr7",55432402,55432692,0.999910303772056,-0.0100443958215402,"LANCL2","cg11850943;cg05979484;cg11552287","CoRSIV"
"chr7",157754600,157754746,0.999910303772056,-0.0189900639917591,"PTPRN2","cg18311871;cg16609021;cg11072645","CoRSIV"
"chr7",158045996,158046166,0.999910303772056,0.025944837243251,"PTPRN2","cg16571642;cg06715136;cg02770061","CoRSIV"
"chr8",216578,216703,0.762361280501501,-0.0781075351139529,"RPL23AP53","cg17920646;cg24536782;cg03116837","CoRSIV"
"chr8",2585666,2586225,0.999910303772056,0.00614199030974713,"AC245123.1","cg24475182;cg23099839;cg11779808","CoRSIV"
"chr8",48675911,48676054,0.999910303772056,0.016726018402387,"AC022915.2","cg09100271;cg18762806;cg09100338","CoRSIV"
"chr8",49427283,49427684,0.999910303772056,-0.0207350370358056,NA,"cg03635442;cg08681904;cg05475109","CoRSIV"
"chr8",58172571,58173162,0.969749802012569,0.0191428287013357,"FAM110B","cg04160749;cg08035479;cg11193419","CoRSIV"
"chr8",58192502,58192883,0.999910303772056,0.0170674575052571,"FAM110B","cg22535103;cg24829409;cg05313129","CoRSIV"
"chr8",144635361,144636462,0.514919219051309,0.056855103122478,NA,"cg18198896;cg15541193;cg20583945","CoRSIV"
"chr8",145638881,145639181,0.999910303772056,-0.0216675936976414,NA,"cg02583091;cg05681977;cg14228592","CoRSIV"
"chr8",145955983,145956024,0.999910303772056,0.00797195171923842,NA,"cg00117018;cg06513375;cg21918548","CoRSIV"
"chr9",90621637,90622205,0.999910303772056,0.0081539757374254,"DIRAS2","cg05115664;cg01400671;cg14251009","CoRSIV"
"chr9",136074886,136075669,0.449770952148931,0.0255766282622904,"NACC2","cg06361845;cg13912631;cg14194263","CoRSIV"
"chr9",139092321,139092873,0.593252304137867,0.0297270598181301,NA,"cg08967938;cg21192468;cg25952247","CoRSIV"
"chr10",1405193,1406218,0.999910303772056,0.0102740076001705,"ADARB2","cg12799314;cg22172057;cg17558772","CoRSIV"
"chr10",2964678,2964793,0.999910303772056,-0.00203344895083836,NA,"cg03734133;cg23612849;cg03549227","CoRSIV"
"chr10",2978126,2978438,0.999910303772056,0.0163062694938904,NA,"cg11540016;cg19766591;cg03961510","CoRSIV"
"chr10",11381854,11382024,0.999910303772056,-9.11816425120866e-05,NA,"cg22786657;cg04065885;cg09707253","CoRSIV"
"chr10",15038045,15038349,0.999910303772056,-0.0117695808366014,"OLAH","cg00964333;cg16345366;cg23997132","CoRSIV"
"chr10",44223817,44224014,0.999910303772056,0.0201035439116226,NA,"cg08234653;cg26132114;cg24530234","CoRSIV"
"chr10",45359611,45359721,0.684112895834792,0.032847041730037,NA,"cg06188367;cg24969520;cg03444077","CoRSIV"
"chr10",54538305,54538682,0.999910303772056,-0.00585372748252348,"AL353784.1, PCDH15","cg17334937;cg03716984;cg07745596","CoRSIV"
"chr10",124578209,124578366,0.999910303772056,0.0214819191156579,"LHPP","cg24508426;cg04278168;cg02613370","CoRSIV"
"chr10",130726406,130726701,0.999910303772056,0.0170773648289287,NA,"cg12887581;cg00737841;cg19317226","CoRSIV"
"chr11",14927456,14927549,0.999910303772056,0.00115392373913043,"CALCB","cg25251204;cg00085434;cg16394018","CoRSIV"
"chr11",60414689,60414918,0.999910303772056,-0.000509846265416333,"MS4A14","cg17588350;cg19431051;cg05082738","CoRSIV"
"chr11",75139390,75139680,0.739694069596765,-0.0533624731616937,"SLCO2B1, AP001972.4","cg06329735;cg05353869;cg04231094","CoRSIV"
"chr11",132951838,132951950,0.999910303772056,-0.0172379466800228,"OPCML","cg24829292;cg22629528;cg26283170","CoRSIV"
"chr12",38531935,38532614,0.999910303772056,0.0152998404774084,NA,"cg04348558;cg15655495;cg05971474","CoRSIV"
"chr12",52281676,52281901,0.999910303772056,0.0152197022011935,"KRT86","cg19974223;cg19948393;cg04349021","CoRSIV"
"chr12",131622584,131622739,0.999910303772056,0.0201191793694232,"AC117500.3","cg26922917;cg07635485;cg01056242","CoRSIV"
"chr13",23412250,23412409,0.999910303772056,-0.0172261670031259,"SACS","cg14395298;cg00748494;cg14089267","CoRSIV"
"chr13",24519920,24520348,0.999910303772056,0.00388104977806192,"TPTE2P6, AL359538.4","cg11450541;cg18976044;cg02002217","CoRSIV"
"chr13",28107382,28107438,0.999910303772056,0.000110208119636254,"CHCHD2P8","cg19529146;cg09021118;cg00318380","CoRSIV"
"chr13",100218552,100219013,0.999910303772056,0.00995164183006537,"PCCA","cg17910899;cg20066226;cg13752184","CoRSIV"
"chr13",111465028,111466326,0.999910303772056,0.00146119711139531,NA,"cg03427330;cg14361252;cg05852786","CoRSIV"
"chr15",25123287,25123491,0.999910303772056,-0.0115330290139244,"SNHG14","cg27644292;cg08560373;cg25657700","CoRSIV"
"chr16",711033,711235,0.999910303772056,0.00637096157971015,"Z97653.1","cg01252526;cg03287339;cg05638439","CoRSIV"
"chr16",88858204,88858315,0.999910303772056,0.0081595217391304,"TRAPPC2L","cg06639733;cg08482979;cg06490845","CoRSIV"
"chr17",4487099,4487125,0.999910303772056,-0.00579744000653598,"SPNS3","cg24135491;cg18102738;cg13375589","CoRSIV"
"chr17",19881632,19881925,0.810929893494595,0.010720946493322,NA,"cg11630242;cg25907965;cg12065943","CoRSIV"
"chr17",21220141,21220411,0.79212501914952,-0.0231030791690821,"AC087294.1","cg06514855;cg19816642;cg14170220","CoRSIV"
"chr17",80780281,80780358,0.999910303772056,0.000534631303211168,"RPTOR","cg09563619;cg22633247;cg18695427","CoRSIV"
"chr18",61157478,61157738,0.969749802012569,-0.010291648167093,NA,"cg07331725;cg06682185;cg23824713","CoRSIV"
"chr18",77292410,77292947,0.999910303772056,-0.0292295596760444,NA,"cg19375418;cg06675417;cg23345151","CoRSIV"
"chr18",77676141,77676321,0.999910303772056,-0.000922032507530564,NA,"cg15853814;cg06309094;cg10320164","CoRSIV"
"chr19",613111,613818,0.999910303772056,0.0375355181023018,"HCN2","cg06657917;cg17403731;cg12159023","CoRSIV"
"chr19",38943525,38944048,0.999910303772056,0.0176306816203467,"AC011455.2, FBXO17","cg02753903;cg24377285;cg22379212","CoRSIV"
"chr19",42811035,42811173,0.999910303772056,0.00626695962631423,"PSG8","cg01127878;cg08835342;cg19302410","CoRSIV"
"chr19",43857861,43858174,0.999910303772056,0.0100180042625746,NA,"cg14101398;cg05275595;cg11906444","CoRSIV"
"chr19",53088482,53088849,0.999910303772056,0.00139092818783748,"ZNF160","cg02805814;cg08606748;cg10400499","CoRSIV"
"chr20",4701448,4701595,0.999910303772056,-0.00108003672804774,"PRNP","cg23693200;cg21870321;cg16977257","CoRSIV"
"chr21",48081242,48081686,0.999910303772056,0.0112079276499006,NA,"cg09374293;cg21461082;cg24877093","CoRSIV"
"chr22",32599511,32599648,0.999910303772056,0.0434690651150895,"SYN3","cg01124132;cg12906381;cg13405775","CoRSIV"
"chr22",49447430,49448320,0.780834068455451,0.0335403616251777,"C22orf34","cg18887005;cg15192736;cg05132077","CoRSIV"
"chr1",75590960,75591353,0.999910303772056,-0.0135466368556408,"SLC44A5","cg01540595;cg01066472;cg00325531","CoRSIV"
"chr3",12595473,12595852,0.999910303772056,0.00195264773799375,"RAF1","cg24847846;cg05467012;cg07775309","CoRSIV"
"chr3",133191270,133191407,0.999910303772056,-0.00293076881585671,"TMEM108","cg15486454;cg04231050;cg10705060","CoRSIV"
"chr8",144278589,144278790,0.999910303772056,0.0033554598181302,"BOP1","cg01444051;cg13453110;cg06990782","CoRSIV"
"chr9",140356475,140356830,0.999910303772056,0.00658500563796535,NA,"cg18559901;cg13857646;cg07672814","CoRSIV"
"chr10",134778176,134778648,0.999910303772056,0.00717058395879507,NA,"cg23155965;cg24680439;cg02276826","CoRSIV"
"chr12",31272112,31272119,0.999910303772056,-0.00796686637396994,NA,"cg17292337;cg10317314;cg14687298","CoRSIV"
"chr14",104644850,104645063,0.999910303772056,0.00160045954504119,NA,"cg04257913;cg12924430;cg01820213","CoRSIV"
"chr14",104808474,104808652,0.904514240965185,0.0306564886047172,NA,"cg26153715;cg23936410;cg01655667","CoRSIV"
"chr19",15582687,15582853,0.999910303772056,0.000705108672350091,"CYP4F23P","cg08129505;cg25994622;cg26853265","CoRSIV"
"chr5",42924215,42924552,0.999910303772056,-0.00716981047882921,"AC008945.2","cg01550017;cg11206167;cg24833819","CoRSIV"
"chr2",36825704,36825888,0.999910303772056,0.00351512872975286,NA,"cg09467607;cg01206211;cg07416916","CoRSIV"
"chr6",156983263,156983315,0.999910303772056,0.00817526048792273,"ARID1B","cg05282260;cg08839808;cg00269725","CoRSIV"
"chr6",168402227,168402369,0.999910303772056,0.00164257964876387,NA,"cg08921800;cg17133750;cg15305980","CoRSIV"
"chr11",58667960,58668068,0.999910303772056,-0.0109011995851095,"GLYAT","cg09527118;cg22728830;cg11229864","CoRSIV"
"chr14",70690454,70690538,0.999910303772056,-0.00900159482267697,NA,"cg26146732;cg21484985;cg08322580","CoRSIV"
"chr17",3512804,3512893,0.999910303772056,0.00044632605853927,"SPATA22, TRPV3","cg10826699;cg18013426;cg22173019","CoRSIV"
"chr20",23028304,23028977,0.999910303772056,-0.00378826837169649,"AL049651.1","cg20096897;cg10505785;cg07255664","CoRSIV"
"chr21",46975897,46976340,0.999910303772056,0.00414053337880077,NA,"cg25211403;cg21139150;cg22851299","CoRSIV"
"chr8",145162905,145163136,0.999910303772056,-0.0065772236643934,NA,"cg07195118;cg26272248;cg06239191","CoRSIV"
"chr16",70328616,70328924,0.999910303772056,0.00064582907075873,"DDX19B, AC012184.2, AC012184.3","cg02098273;cg06017234;cg08597056","CoRSIV"
"chr1",149162430,149162518,0.999910303772056,-0.000889808894572327,NA,"cg23106045;cg09139923;cg21937395","CoRSIV"
"chr4",1595294,1595515,0.999910303772056,0.000859128849104869,NA,"cg11005692;cg08699206;cg11508406","CoRSIV"
"chr8",145164209,145165189,0.999910303772056,0.000246368172776281,NA,"cg16311044;cg18925846;cg03852276","CoRSIV"
"chr9",130955135,130955436,0.999910303772056,0.00595264941460641,NA,"cg10071929;cg13642260;cg09976142","CoRSIV"
"chr16",20420652,20420716,0.999910303772056,-0.00129545851094058,"ACSM5","cg04428453;cg05300045;cg10938486","CoRSIV"
"chr18",20735537,20735672,0.999910303772056,-0.00127727746149467,NA,"cg26136497;cg13313047;cg24964110","CoRSIV"
"chr19",50961752,50962411,0.999910303772056,0.00439166558056265,"AC011483.2, KLK6, AC011483.3","cg11430371;cg17071417;cg10687087","CoRSIV"
"chr11",118842413,118842484,0.999910303772056,-0.00318638497925551,NA,"cg07780348;cg24766553;cg05940452","CoRSIV"
"chr13",20716638,20717597,0.777808949421891,0.0114240187563228,"IL17D","cg00963378;cg01767631;cg15344726;cg22579841;cg26013143;cg12428416","CoRSIV"
"chr1",149145020,149145243,0.999910303772056,-0.00374920822762146,NA,"cg19635571;cg16661522;cg22692549","CoRSIV"
"chr5",266909,266963,0.999910303772056,-0.000562268356635423,"AC021087.5","cg27636925;cg22857025;cg06799180","CoRSIV"
"chr5",1245902,1246291,0.999910303772056,0.00812483204603583,"SLC6A18","cg09075844;cg02287371;cg05867884","CoRSIV"
"chr1",1003126,1003529,0.999910303772056,0.0136894020532822,"ISG15","cg10955566;cg08709360;cg01244934;cg15899727","CoRSIV"
"chr1",38156462,38156652,0.999910303772056,0.0226423572890026,"AL390839.1","cg24088508;cg12339802;cg27170260;cg06917450","CoRSIV"
"chr1",228742687,228744111,0.709514259624422,0.0169133999390453,"RHOU","cg27629454;cg22700015;cg12437277;cg02165801","CoRSIV"
"chr2",130345044,130345405,0.999910303772056,0.017642893524723,"IMP4","cg05962382;cg05903289;cg19182557;cg14789551","CoRSIV"
"chr2",131046122,131046551,0.999910303772056,0.00987993802493614,"ARHGEF4","cg14013597;cg14902204;cg04289314;cg15473092","CoRSIV"
"chr3",53032891,53033167,0.85076655706279,0.00378151303260867,"SFMBT1, AC096887.1","cg24616795;cg27565382;cg12962167;cg07884673","CoRSIV"
"chr4",124232,125112,0.999910303772056,0.00166457518627451,"ZNF718","cg20320494;cg12717203;cg25397663;cg10197305","CoRSIV"
"chr4",675137,675936,0.999910303772056,0.00826497416922427,"MYL5","cg15201545;cg17035899;cg19427345;cg23143502","CoRSIV"
"chr4",1044486,1044797,0.999910303772056,-0.00996710684143226,NA,"cg04016957;cg04106633;cg21130718;cg27284194","CoRSIV"
"chr4",187422035,187422119,0.999910303772056,0.0151266738213981,NA,"cg27420889;cg27327312;cg16786756;cg21004358","CoRSIV"
"chr5",1856713,1857477,0.999910303772056,0.00828828898891733,NA,"cg01114163;cg01283332;cg20790798;cg11168104","CoRSIV"
"chr6",24583477,24583723,0.999910303772056,0.00575468239833758,"KIAA0319","cg27524988;cg25597625;cg10482057;cg06752695","CoRSIV"
"chr6",27185676,27186199,0.999910303772056,0.0227469330315431,NA,"cg09817162;cg10279314;cg09395805;cg07555084","CoRSIV"
"chr6",29981250,29981469,0.969749802012569,0.0112542974098465,NA,"cg08397993;cg12854611;cg09316544;cg04689016","CoRSIV"
"chr6",32363121,32363268,0.999910303772056,0.0057383405370843,"TSBP1-AS1, TSBP1","cg12344564;cg24478695;cg20891116;cg02591634","CoRSIV"
"chr6",166510882,166511686,0.999910303772056,-0.0013456261886189,"RPS6KA2","cg05171129;cg05194447;cg16698521;cg00237489","CoRSIV"
"chr6",168435636,168436353,0.999910303772056,0.00710885791346975,NA,"cg01134139;cg24246628;cg18319852;cg14316629","CoRSIV"
"chr7",2606716,2607232,0.999910303772056,0.00295496392178174,"IQCE","cg25010691;cg10688297;cg15144631;cg04919592","CoRSIV"
"chr7",51539190,51539583,0.999910303772056,0.0111666071651748,"AC005999.2","cg10614809;cg06593753;cg07537562;cg08767820","CoRSIV"
"chr7",99195788,99196468,0.969749802012569,-0.00615455239045187,"KPNA7","cg24024660;cg12290671;cg03133378;cg18678704","CoRSIV"
"chr8",1321333,1321883,0.999910303772056,0.0190514639812447,"DLGAP2","cg03128011;cg20088245;cg22034735;cg05029148","CoRSIV"
"chr8",2075209,2075820,0.999910303772056,0.0502007666312873,"MYOM2","cg06054159;cg11424828;cg21847720;cg01295646","CoRSIV"
"chr8",144371537,144372051,0.810929893494595,0.0442552490215261,NA,"cg02530860;cg03151810;cg11388673;cg11750431","CoRSIV"
"chr9",140173347,140174272,0.999910303772056,0.0017713190824808,NA,"cg14018215;cg09381737;cg02219116;cg13754915","CoRSIV"
"chr10",42863508,42863594,0.999910303772056,-0.0203275327280478,NA,"cg24527560;cg24598948;cg24714864;cg01485177","CoRSIV"
"chr10",72648543,72648693,0.999910303772056,0.00881104303708437,NA,"cg26782013;cg25363622;cg18079653;cg19225512","CoRSIV"
"chr11",405846,406019,0.999910303772056,0.0031412613341859,"SIGIRR","cg12036817;cg12072972;cg17376853;cg11364895","CoRSIV"
"chr11",6291951,6292511,0.999910303772056,-0.0276212444825235,NA,"cg26313599;cg04585209;cg18706028;cg26700447","CoRSIV"
"chr11",6592066,6592745,0.999910303772056,0.0243851644982949,"DNHD1","cg11185456;cg24637308;cg01833234;cg10208301","CoRSIV"
"chr15",43941034,43941563,0.999910303772056,-0.00309065267881503,"FRMD5","cg10011062;cg22846334;cg03310027;cg06032540","CoRSIV"
"chr16",50707467,50708071,0.999910303772056,-0.00197876485933505,"NOD2","cg26724070;cg09341491;cg04057674;cg09479452","CoRSIV"
"chr16",87577273,87577655,0.999910303772056,-0.00811293562446718,NA,"cg02093708;cg10312981;cg08031982;cg03020503","CoRSIV"
"chr17",16593582,16593613,0.999910303772056,-0.0171900399473572,NA,"cg04306489;cg14078639;cg03049249;cg04316233","CoRSIV"
"chr17",80708279,80708632,0.999910303772056,0.0339228113919437,"RPTOR","cg03115019;cg22325292;cg00809820;cg02398342","CoRSIV"
"chr18",72837531,72837700,0.999910303772056,-0.0122623362301791,"NETO1","cg21894287;cg18709881;cg14395744;cg04756515","CoRSIV"
"chr18",77917615,77918588,0.999910303772056,-0.0225466649872123,NA,"cg19815565;cg13590055;cg21237861;cg07500432","CoRSIV"
"chr19",2250901,2251067,0.999910303772056,0.0218209717598039,"AMH","cg05345154;cg23218559;cg04052466;cg26000619","CoRSIV"
"chr19",3162842,3163717,0.999910303772056,-0.000247405328218248,"GNA15","cg21086326;cg03346706;cg02337388;cg03302088","CoRSIV"
"chr19",12876846,12877188,0.999910303772056,0.0491315476924553,"DNASE2","cg06417478;cg04657146;cg11738485;cg23899408","CoRSIV"
"chr19",37894346,37894856,0.999910303772056,-0.0112017207800512,"WDR87","cg13620317;cg03233940;cg14942863;cg19556473","CoRSIV"
"chr19",38039469,38040340,0.999910303772056,-0.0136161921596334,"SIPA1L3","cg25757140;cg00879218;cg17967673;cg08083988","CoRSIV"
"chr19",51774377,51774592,0.999910303772056,-0.00727530556990623,"FPR1","cg15497724;cg01718065;cg14884932;cg14724749","CoRSIV"
"chr19",53540845,53541287,0.999910303772056,0.00196103546334185,"ZNF331","cg17509563;cg07962338;cg02758612;cg05294813","CoRSIV"
"chr20",62327968,62328427,0.999910303772056,-0.00363748907864452,"LAMA5","cg23773946;cg07620230;cg24354818;cg16702083","CoRSIV"
"chr21",35831958,35832028,0.999910303772056,-0.0217381685829071,"RUNX1","cg08823027;cg19521832;cg23908228;cg07321776","CoRSIV"
"chr22",17564615,17565149,0.999910303772056,0.00421899602578856,"SLC25A18, AC007666.2","cg19901866;cg13595439;cg07191900;cg20758542","CoRSIV"
"chr22",32600722,32601654,0.999910303772056,0.00200619019671781,"SYN3","cg22404498;cg26494441;cg25125450;cg01840965","CoRSIV"
"chr1",198127992,198128390,0.999910303772056,0.000544678978047739,NA,"cg03946186;cg19433037;cg23237225;cg12092932","CoRSIV"
"chr5",102898463,102898729,0.999910303772056,-0.00139171423699915,"PAM","cg02976617;cg13665998;cg09166085;cg07655627","CoRSIV"
"chr8",1365049,1365749,0.999910303772056,0.0150443617220802,"DLGAP2","cg27134251;cg09050832;cg02490460;cg05041795","CoRSIV"
"chr13",41496235,41496979,0.999910303772056,0.00136817964471439,"AL354833.2","cg14924160;cg09117688;cg14759977;cg08207253","CoRSIV"
"chr15",66947392,66947617,0.999910303772056,0.0114173480142796,"LINC02206","cg09827761;cg25481157;cg26099834;cg05406088","CoRSIV"
"chr15",69222592,69223368,0.999910303772056,0.0102719688629583,"GLCE","cg17286244;cg14554415;cg09886641;cg07775813","CoRSIV"
"chr19",33210552,33210851,0.999910303772056,0.0040573834921142,"SLC7A10","cg02820072;cg18155407;cg07564471;cg19712189","CoRSIV"
"chr20",43378669,43379437,0.999910303772056,-0.00902648181777495,NA,"cg05927579;cg25301532;cg17848838;cg09357268","CoRSIV"
"chr11",73668626,73669290,0.999910303772056,0.00157645955242964,NA,"cg20737388;cg04044120;cg15670924;cg23327896","CoRSIV"
"chr4",187125413,187126139,0.999910303772056,0.0380289187858056,NA,"cg11969330;cg09526685;cg23442198;cg02012338","CoRSIV"
"chr7",156917432,156917762,0.999910303772056,-0.00125684310464629,NA,"cg27133504;cg25123564;cg06018591;cg13134808","CoRSIV"
"chr19",17504632,17505860,0.999910303772056,0.000153486277280478,"SLC27A1, AC010618.3","cg07996016;cg15449217;cg03770646;cg15529616","CoRSIV"
"chr2",95536219,95537475,0.999910303772056,-0.00155300536445017,"AC009237.8","cg02150767;cg06383022;cg05852568;cg05723825","CoRSIV"
"chr5",1594676,1594733,0.999910303772056,-0.00780875096867007,"AC026412.3","cg21167402;cg24960960;cg21931717;cg08422420","CoRSIV"
"chr1",113285118,113286397,0.999910303772056,-0.00198098377131287,NA,"cg05708536;cg25707805;cg00698771;cg11685510","CoRSIV"
"chr17",406249,406501,0.999910303772056,-0.00380099865515778,"AC141424.1","cg04370829;cg16835101;cg00430613;cg01214346","CoRSIV"
"chr19",39055712,39056216,0.999910303772056,0.00858000351555838,NA,"cg03598159;cg09508496;cg02452418;cg02452966","CoRSIV"
"chr5",179740743,179741120,0.999910303772056,0.00725260225959078,"MAML1","cg23221052;cg13944838;cg23248424;cg02891314","CoRSIV"
"chr1",2120985,2121521,0.777808949421891,0.0326433985098039,"PRKCZ","cg20300514;cg26227225;cg05337761;cg08200543;cg01894875","CoRSIV"
"chr1",110254709,110254896,0.999910303772056,-0.0388211262726343,"KCNC4","cg20803293;cg25210835;cg24467349;cg12858902;cg14377951","CoRSIV"
"chr1",228658371,228659399,0.999910303772056,0.0162392259619779,NA,"cg20704450;cg26823666;cg11336382;cg11801727;cg21808258","CoRSIV"
"chr1",247694041,247694531,0.999910303772056,-0.00861946987485083,"AL390860.1","cg17545182;cg12754571;cg12758973;cg02104434;cg04899629","CoRSIV"
"chr2",30669597,30669952,0.924658540672254,0.0492795040443308,NA,"cg12454169;cg15652532;cg17749961;cg03795903;cg07150166","CoRSIV"
"chr2",128453108,128453484,0.999910303772056,-0.0192067896646206,NA,"cg06741367;cg25223285;cg03738707;cg11059159;cg25277809","CoRSIV"
"chr2",213696794,213698049,0.999910303772056,-0.00469628288644502,"SPAG16","cg16865291;cg22265452;cg22533762;cg08122831;cg27329091","CoRSIV"
"chr3",125708958,125709740,0.999910303772056,-0.0170447319924979,NA,"cg02807482;cg06494592;cg04553112;cg18479299;cg15145296","CoRSIV"
